group,name,accuracy,macro_f1
overall,all,0.41458333333333336,0.3276984438612081
prompt,zero_shot,0.4583333333333333,0.3704852098950379
prompt,structured,0.4666666666666667,0.3874674247808576
prompt,few_shot,0.3416666666666667,0.1984126984126984
prompt,cot,0.39166666666666666,0.3127646097943128
format,label_only,0.44583333333333336,0.37276227061454925
format,reasoning,0.38333333333333336,0.26206515126375757
class,real,0.3,0.36363636363636365
class,ai_generated,0.90625,0.5471698113207547
class,deepfake,0.0375,0.07228915662650602
